#word,k-f-freq     ,k-f-ncats    ,k-f-nsamp    ,t-l-freq     ,brown-freq   ,fam,conc ,imag,meanc,wtype
facility,11,5,9,70,,483,279,320,,n
facing,34,13,31,21,1,,,,,v
facing,34,13,31,21,1,,,,,o
facing,34,13,31,21,1,,,,,n
facsimile,1,1,1,,1,,,,,j
facsimile,1,1,1,,1,,,,,v
facsimile,1,1,1,,1,,,,,n
fact,447,15,233,2114,193,593,332,302,463,n
faction,5,4,5,20,1,,,,,v
faction,5,4,5,20,1,,,,,n
factor,71,10,52,99,4,499,328,269,,v
factor,71,10,52,99,4,499,328,269,,n
factory,32,9,16,272,1,562,586,608,,j
factory,32,9,16,272,1,562,586,608,,n
factual,7,5,7,,2,,,,,j
faculty,74,9,18,88,21,,,,,n
fad,2,2,2,22,,,,,,v
fad,2,2,2,22,,,,,,n
fade,2,1,2,108,,,,,,j
fade,2,1,2,108,,,,,,n
fade,2,1,2,108,,,,,,v
faded,,,,,1,,,,,p
faded,,,,,1,,,,,v
fading,5,4,5,,,,,,,v
fading,5,4,5,,,,,,,n
faery,1,1,1,,,,,,,j
faery,1,1,1,,,,,,,n
fag,,,,8,,,,,,n
fag,,,,8,,,,,,v
fags,,,,,1,,,,,v
fahrenheit,1,1,1,,,,,,,o
fahrenheit,1,1,1,,,,,,,j
fail,37,11,32,620,4,568,327,380,440,v
failed,,,,,8,,,,,p
failed,,,,,8,,,,,v
failing,17,6,14,30,,511,297,419,470,n
failing,17,6,14,30,,511,297,419,470,v
failing,17,6,14,30,,511,297,419,470,o
failing,17,6,14,30,,511,297,419,470,r
failure,89,13,56,262,5,542,282,437,,n
fain,1,1,1,3,,,,,,v
fain,1,1,1,3,,,,,,a
fain,1,1,1,3,,,,,,j
faint,25,9,24,308,4,516,462,466,358,j
faint,25,9,24,308,4,516,462,466,358,n
faint,25,9,24,308,4,516,462,466,358,v
fair,77,14,57,561,25,573,413,439,474,v
fair,77,14,57,561,25,573,413,439,474,a
fair,77,14,57,561,25,573,413,439,474,j
fair,77,14,57,561,25,573,413,439,474,n
fair-weather,2,2,2,,,,,,,j
fairing,3,1,1,,,,,,,o
fairly,58,12,51,290,41,,,,,a
fairness,6,4,6,30,,,,,,n
fairway,5,1,2,,,,,,,n
fairy,4,4,4,106,,471,433,536,393,j
fairy,4,4,4,106,,471,433,536,393,n
fairy-tale,1,1,1,,,,,,,n
fairyland,,,,15,,,,,,n
faith,111,15,54,459,7,,,,,n
faith,111,15,54,459,7,,,,,v
faithful,12,6,9,104,,,,,,a
faithful,12,6,9,104,,,,,,j
faithful,12,6,9,104,,,,,,n
faithless,,,,6,,,,,,j
fake,10,4,5,53,1,,,,,n
fake,10,4,5,53,1,,,,,v
faker,1,1,1,,,,,,,n
falcon,4,2,2,5,,,,,,n
falconer,,,,,,168,522,422,,n
fall,147,14,106,1000,7,572,409,547,467,n
fall,147,14,106,1000,7,572,409,547,467,v
fallacious,1,1,1,2,,,,,,j
fallacy,1,1,1,18,,379,258,287,,n
fallen,34,11,31,236,1,,,,,p
fallen,34,11,31,236,1,,,,,o
fallen,34,11,31,236,1,,,,,v
fallible,1,1,1,,,,,,,j
falling,33,10,27,,1,527,,442,,v
falling,33,10,27,,1,527,,442,,o
fallow,1,1,1,4,,,,,,j
fallow,1,1,1,4,,,,,,v
falls,,,,,1,,,,,v
falsehood,2,2,2,17,,348,260,326,,n
falsify,2,2,2,,,,,,,n
falsify,2,2,2,,,,,,,v
falsity,3,1,2,,,,,,,n
falter,2,2,2,76,,,,,,n
falter,2,2,2,76,,,,,,v
fame,18,8,12,107,4,,,,,v
familiar,72,14,62,345,1,,,,,n
familiar,72,14,62,345,1,,,,,j
familiarity,13,8,11,29,1,,,,,n
familiarize,,,,11,,,,,,v
familism,1,1,1,,,,,,,n
family,331,15,149,1976,31,607,525,577,,n
famine,3,2,3,9,,444,,,,v
famine,3,2,3,9,,444,,,,n
famish,,,,6,,,,,,v
famous,89,14,62,452,2,556,,376,,v
famous,89,14,62,452,2,556,,376,,j
fan,18,7,15,145,2,520,557,582,425,n
fan,18,7,15,145,2,520,557,582,425,v
fanatic,,,,18,,,,,,j
fanatic,,,,18,,,,,,n
fanatical,2,2,2,17,,,,,,j
fanaticism,4,3,3,5,,,,,,n
fancied,2,1,2,,,,,,,p
fancied,2,1,2,,,,,,,v
fancied,2,1,2,,,,,,,o
fancier,1,1,1,3,,,,,,j
fancier,1,1,1,3,,,,,,n
fanciful,2,2,2,14,,,,,,j
fancy,16,10,15,194,8,537,,384,,j
fancy,16,10,15,194,8,537,,384,,n
fancy,16,10,15,194,8,537,,384,,v
fane,,,,27,,225,284,205,,n
fanfare,1,1,1,,,,,,,n
fang,,,,4,,450,574,559,405,v
fang,,,,4,,450,574,559,405,n
fanning,5,4,5,,,,,,,v
fanning,5,4,5,,,,,,,o
fantasia,2,2,2,,,,,,,n
fantastic,20,9,18,,16,,,,,n
fantastic,20,9,18,,16,,,,,j
fantastical,,,,8,,,,,,j
fantastically,,,,,1,,,,,a
fantasy,14,3,4,,2,499,295,455,521,v
fantasy,14,3,4,,2,499,295,455,521,n
far,427,15,258,1835,101,587,302,411,463,j
far,427,15,258,1835,101,587,302,411,463,n
far,427,15,258,1835,101,587,302,411,463,v
far,427,15,258,1835,101,587,302,411,463,a
far-away,1,1,1,,,,,,,a
far-away,1,1,1,,,,,,,j
far-away,1,1,1,,,,,,,n
far-famed,1,1,1,,,,,,,j
far-off,1,1,1,31,,,,,,j
far-sighted,1,1,1,12,,,,,,j
farce,3,2,3,16,1,,,,,v
farce,3,2,3,16,1,,,,,n
farcical,,,,4,,,,,,j
fare,7,4,7,112,5,482,413,384,361,n
fare,7,4,7,112,5,482,413,384,361,v
fares,,,,,2,,,,,v
farewell,14,10,14,68,1,436,361,466,,j
farewell,14,10,14,68,1,436,361,466,,v
farewell,14,10,14,68,1,436,361,466,,a
farewell,14,10,14,68,1,436,361,466,,i
farewell,14,10,14,68,1,436,361,466,,n
farina,1,1,1,,,,,,,n
farley,1,1,1,,,,,,,n
farm,125,13,39,826,5,564,565,560,532,n
farm,125,13,39,826,5,564,565,560,532,v
farmed,,,,,1,,,,,p
farmed,,,,,1,,,,,v
farmer,23,8,12,519,5,,,,,n
farmhouse,8,3,4,72,,,,,,n
farming,16,3,5,,,,,,,v
farming,16,3,5,,,,,,,j
farming,16,3,5,,,,,,,o
farms,,,,,1,,,,,v
farmstead,,,,1,,,,,,n
farmyard,,,,5,1,443,608,594,,n
faro,4,2,2,12,,,,,,n
farrier,,,,1,,,,,,v
farrier,,,,1,,,,,,n
farther,32,8,24,230,,539,326,343,368,v
farther,32,8,24,230,,539,326,343,368,a
farther,32,8,24,230,,539,326,343,368,j
farthest,3,3,3,16,,,,,,a
farthest,3,3,3,16,,,,,,j
farthing,,,,2,,226,361,381,232,n
fascicle,,,,,2,,,,,n
fascinate,3,3,3,230,,,,,,v
fascinated,,,,,2,,,,,p
fascinated,,,,,2,,,,,v
fascinating,,,,,10,,,,,j
fascinating,,,,,10,,,,,v
fascination,6,5,6,46,1,,,,,n
fascist,2,2,2,,,,,,,j
fascist,2,2,2,,,,,,,n
fashion,69,14,52,441,3,548,356,474,505,n
fashion,69,14,52,441,3,548,356,474,505,v
fashionable,12,7,10,112,3,,,,,n
fashionable,12,7,10,112,3,,,,,j
fashioned,7,5,7,,,,,,,p
fashioned,7,5,7,,,,,,,v
fashioned,7,5,7,,,,,,,o
fashions,,,,,1,,,,,v
fast,78,13,64,514,12,600,304,411,523,a
fast,78,13,64,514,12,600,304,411,523,j
fast,78,13,64,514,12,600,304,411,523,n
fast,78,13,64,514,12,600,304,411,523,v
fasten,4,3,4,142,,,,,,n
fasten,4,3,4,142,,,,,,v
fastening,1,1,1,,,,,,,v
fastening,1,1,1,,,,,,,o
fastening,1,1,1,,,,,,,n
fastens,1,1,1,,,,,,,v
fastens,1,1,1,,,,,,,n
faster,18,10,18,,3,580,344,362,442,j
faster,18,10,18,,3,580,344,362,442,n
fastest,,,,,1,,,,,j
fastidious,3,3,3,21,,,,,,j
fastness,,,,11,1,,,,,n
fat,60,13,37,512,5,609,540,574,,v
fat,60,13,37,512,5,609,540,574,,j
fat,60,13,37,512,5,609,540,574,,n
fatal,19,7,15,87,4,,,,,j
fatality,1,1,1,10,,,,,,n
fate,33,10,26,239,2,502,255,343,472,v
fate,33,10,26,239,2,502,255,343,472,n
fated,,,,5,,,,,,p
fated,,,,5,,,,,,v
fated,,,,5,,,,,,o
fateful,3,2,3,20,,,,,,j
father,183,15,105,3235,46,591,594,646,554,n
father,183,15,105,3235,46,591,594,646,554,v
father-in-law,,,,17,,,,,,v
fatherland,,,,10,,286,361,378,,n
fatherless,,,,4,,,,,,j
fatherly,1,1,1,12,,,,,,a
fatherly,1,1,1,12,,,,,,j
fathom,3,1,2,22,,,,,,n
fathom,3,1,2,22,,,,,,v
fathomless,,,,1,,,,,,j
fatigue,11,6,11,105,,499,416,502,,n
fatigue,11,6,11,105,,499,416,502,,v
fatten,1,1,1,14,,,,,,v
fatty,7,3,3,10,,,,,,j
fatty,7,3,3,10,,,,,,n
fatuous,2,2,2,,,,,,,j
faucet,1,1,1,12,,,,,,n
fault,22,9,18,382,8,541,315,323,372,n
fault,22,9,18,382,8,541,315,323,372,v
faulted,,,,,1,,,,,p
faulted,,,,,1,,,,,v
faultless,1,1,1,24,,,,,,j
faults,,,,,2,,,,,v
faulty,8,4,6,25,,,,,,j
faun,,,,6,,,,,,n
fauteuil,1,1,1,,,,,,,n
favour,2,1,2,,4,,,,,n
favour,2,1,2,,4,,,,,v
favourite,,,,,7,594,313,378,,j
favourite,,,,,7,594,313,378,,n
fawn,1,1,1,13,,433,581,565,377,j
fawn,1,1,1,13,,433,581,565,377,n
fawn,1,1,1,13,,433,581,565,377,v
fay,1,1,1,,,,,,,j
fay,1,1,1,,,,,,,v
fay,1,1,1,,,,,,,n
faze,1,1,1,,,323,308,295,295,v
fe,7,2,2,,,,,,,n
fe,7,2,2,,,,,,,n
fealty,1,1,1,2,,,,,,n
fear,127,15,73,711,7,569,326,394,538,n
fear,127,15,73,711,7,569,326,394,538,v
fearful,13,8,12,70,1,,,,,j
fearless,7,4,5,26,,,,,,j
fearsome,1,1,1,,,,,,,j
feasible,15,6,11,18,1,,,,,j
feast,3,2,3,67,,457,542,610,,n
feast,3,2,3,67,,457,542,610,,v
feasting,,,,,1,,,,,v
feat,6,4,6,37,,449,345,365,377,a
feat,6,4,6,37,,449,345,365,377,j
feat,6,4,6,37,,449,345,365,377,v
feat,6,4,6,37,,449,345,365,377,n
feather,6,3,3,45,,485,,,,o
feather,6,3,3,45,,485,,,,n
feather,6,3,3,45,,485,,,,v
feathered,4,3,3,,,,,,,p
feathered,4,3,3,,,,,,,v
feathered,4,3,3,,,,,,,o
featherweight,1,1,1,,,,,,,n
feathery,1,1,1,12,,,,,,j
feature,37,12,31,422,2,,,,,n
feature,37,12,31,422,2,,,,,v
featured,8,5,7,,,,,,,p
featured,8,5,7,,,,,,,v
featured,8,5,7,,,,,,,o
featureless,2,2,2,,,,,,,j
features,,,,,6,,,,,v
febrile,1,1,1,,,,,,,j
february,45,10,29,,3,,,,,j
february,45,10,29,,3,,,,,n
fecund,1,1,1,,,,,,,j
fed,42,11,30,162,8,,,,,p
fed,42,11,30,162,8,,,,,o
fed,42,11,30,162,8,,,,,v
federal,246,11,66,217,,,,,,n
federal,246,11,66,217,,,,,,o
federal,246,11,66,217,,,,,,j
federalist,1,1,1,1,,,,,,n
federalize,1,1,1,,,,,,,v
federation,15,6,12,63,,,,,,n
fee,16,6,11,103,,515,441,440,,n
fee,16,6,11,103,,515,441,440,,v
feeble,8,6,8,42,1,421,,,,n
feeble,8,6,8,42,1,421,,,,v
feeble,8,6,8,42,1,421,,,,j
feed,123,8,24,256,4,,,,,p
feed,123,8,24,256,4,,,,,o
feed,123,8,24,256,4,,,,,n
feed,123,8,24,256,4,,,,,v
feeder,2,1,1,14,,,,,,n
feeding,26,7,14,,1,,,,,v
feeding,26,7,14,,1,,,,,o
feel,216,15,145,1561,100,588,324,363,502,v
feeler,,,,1,,,,,,n
feeling,172,14,109,967,30,612,262,370,,v
feeling,172,14,109,967,30,612,262,370,,o
feeling,172,14,109,967,30,612,262,370,,j
feeling,172,14,109,967,30,612,262,370,,n
feels,,,,,12,,,,,v
fees,,,,,1,,,,,v
feet,283,15,131,1540,23,611,642,597,463,o
feign,,,,10,,,,,,v
feint,2,1,1,4,,234,288,313,228,j
feint,2,1,1,4,,234,288,313,228,n
feint,2,1,1,4,,234,288,313,228,v
felicitous,1,1,1,,,,,,,j
felicity,4,4,4,31,,,,,,n
feline,2,2,2,9,,277,483,471,,j
feline,2,2,2,9,,277,483,471,,n
fell,92,13,73,683,3,546,407,431,403,a
fell,92,13,73,683,3,546,407,431,403,j
fell,92,13,73,683,3,546,407,431,403,n
fell,92,13,73,683,3,546,407,431,403,v
fell,92,13,73,683,3,546,407,431,403,v
feller,1,1,1,,,,,,,n
fellow,63,14,55,860,15,475,502,435,,v
fellow,63,14,55,860,15,475,502,435,,n
fellowship,36,7,12,22,7,,,,,o
fellowship,36,7,12,22,7,,,,,v
fellowship,36,7,12,22,7,,,,,n
felon,1,1,1,4,,,,,,j
felon,1,1,1,4,,,,,,n
felonious,2,2,2,,,,,,,j
felony,1,1,1,14,,,,,,n
felt,357,15,184,2531,36,504,437,483,387,p
felt,357,15,184,2531,36,504,437,483,387,v
female,50,12,33,116,4,,,,,j
female,50,12,33,116,4,,,,,n
feminine,10,6,9,40,,,,,,n
feminine,10,6,9,40,,,,,,j
feminist,1,1,1,,,,,,,n
fence,30,10,19,256,1,526,597,611,431,n
fence,30,10,19,256,1,526,597,611,431,v
fencing,4,3,3,,,395,525,518,,v
fencing,4,3,3,,,395,525,518,,o
fender,4,3,3,20,1,,,,,n
fenugreek,1,1,1,,,,,,,j
fenugreek,1,1,1,,,,,,,n
fer,2,1,1,,,,,,,n
fer,2,1,1,,,,,,,v
ferment,2,1,1,15,,,,,,n
ferment,2,1,1,15,,,,,,v
fern,1,1,1,33,1,,,,,a
fern,1,1,1,33,1,,,,,j
fern,1,1,1,33,1,,,,,o
fern,1,1,1,33,1,,,,,n
fernery,1,1,1,,,,,,,n
ferocious,2,2,2,14,,,,,,j
ferocity,2,2,2,16,,,,,,n
ferret,1,1,1,10,4,,,,,n
ferret,1,1,1,10,4,,,,,v
ferris,2,2,2,,,,,,,n
ferry,11,5,6,68,4,458,580,592,392,n
ferry,11,5,6,68,4,458,580,592,392,v
fertile,5,5,5,8,,502,430,446,442,j
fertilize,,,,7,,,,,,v
fertilizer,4,4,4,28,,,,,,n
fervent,5,2,5,11,,,,,,j
fervid,,,,6,,,,,,j
festal,,,,3,,,,,,n
festal,,,,3,,,,,,j
fester,,,,4,,,,,,n
fester,,,,4,,,,,,v
festival,27,8,18,32,8,,,,,j
festival,27,8,18,32,8,,,,,n
festive,2,2,2,23,,,,,,j
festivity,,,,20,,411,427,520,,n
festoon,,,,10,,,,,,n
festoon,,,,10,,,,,,v
fetch,6,4,5,99,1,,,,,n
fetch,6,4,5,99,1,,,,,v
fetching,3,3,3,,,,,,,j
fetching,3,3,3,,,,,,,v
fetching,3,3,3,,,,,,,o
fete,3,2,2,18,,,,,,n
fete,3,2,2,18,,,,,,v
fetid,2,2,2,,,,,,,o
fetid,2,2,2,,,,,,,j
fetish,2,1,2,13,,337,288,342,317,v
fetish,2,1,2,13,,337,288,342,317,n
fetter,,,,3,,,,,,n
fetter,,,,3,,,,,,v
fetus,,,,,,408,,,,n
feud,1,1,1,9,,,,,,n
feudal,6,2,3,16,,373,,373,,j
fever,19,8,11,176,1,454,492,563,,v
fever,19,8,11,176,1,454,492,563,,n
fevered,1,1,1,9,,,,,,j
feverish,4,4,4,54,,,,,,j
few,601,15,311,2740,73,593,309,333,416,u
few,601,15,311,2740,73,593,309,333,416,j
fewer,,,,,1,,,,,j
fiance,1,1,1,,,,,,,n
fiance,1,1,1,,,,,,,v
fiasco,4,4,4,,,,,,,n
fiat,13,5,6,1,,,,,,v
fiat,13,5,6,1,,,,,,n
fib,,,,10,,,,,,n
fib,,,,10,,,,,,v
fiberglas,5,2,2,,,,,,,n
fibre,,,,5,,,,,,n
fibrin,2,1,1,,,,,,,n
fibrosis,6,1,1,,,,,,,n
fibrous,5,2,3,4,,,,,,j
fickle,1,1,1,12,,,,,,j
fiction,46,6,19,93,4,,,,,n
fictional,13,4,7,,,,,,,j
fictitious,2,2,2,10,1,,,,,j
fictive,1,1,1,,,,,,,j
fiddle,2,1,1,25,2,465,582,555,452,n
fiddle,2,1,1,25,2,465,582,555,452,v
fiddled,,,,,2,,,,,p
fiddled,,,,,2,,,,,v
fiddler,,,,9,,,,,,n
fiddling,1,1,1,,7,,,,,j
fiddling,1,1,1,,7,,,,,v
fiddling,1,1,1,,7,,,,,o
fidget,,,,14,,,,,,n
fidget,,,,14,,,,,,v
fidgety,,,,,,449,,407,,j
fie,,,,2,,,,,,n
fie,,,,2,,,,,,i
field,274,15,125,661,28,,,,,n
field,274,15,125,661,28,,,,,v
fielded,1,1,1,,,,,,,p
fielded,1,1,1,,,,,,,v
fielded,1,1,1,,,,,,,o
fielder,3,2,2,2,,365,509,472,,n
fields,,,,,6,,,,,v
fieldwork,,,,,1,,,,,n
fiend,3,3,3,18,,,,,,n
fiendish,1,1,1,14,1,,,,,j
fierce,8,6,8,114,,,,,,j
fiery,7,5,7,35,,,,,,j
fife,1,1,1,8,,,,,,n
fife,1,1,1,8,,,,,,v
fifteen,56,13,48,410,31,539,379,491,,j
fifteen,56,13,48,410,31,539,379,491,,n
fifteenth,9,4,8,24,7,,,,,j
fifteenth,9,4,8,24,7,,,,,n
fifth,38,11,32,193,6,,,,,n
fifth,38,11,32,193,6,,,,,j
fiftieth,1,1,1,3,,,,,,j
fiftieth,1,1,1,3,,,,,,n
fifty,68,14,56,525,41,,,,,j
fifty,68,14,56,525,41,,,,,n
fig,72,4,16,62,,,,,,n
fig,72,4,16,62,,,,,,v
fight,98,13,74,1391,8,561,455,543,,n
fight,98,13,74,1391,8,561,455,543,,v
fighter,9,6,8,88,,,,,,n
fighting,72,14,51,,5,,,,,v
fighting,72,14,51,,5,,,,,o
fights,,,,,1,,,,,v
figment,2,2,2,,,408,304,304,365,n
figural,1,1,1,,,,,,,j
figurative,5,3,4,,,,,,,j
figuratively,,,,,1,,,,,a
figure,209,14,109,1202,9,534,472,526,513,n
figure,209,14,109,1202,9,534,472,526,513,v
figured,20,8,17,,,,,,,j
figured,20,8,17,,,,,,,p
figured,20,8,17,,,,,,,v
figured,20,8,17,,,,,,,o
figures,,,,,4,,,,,v
figuring,6,5,6,,,,,,,v
figuring,6,5,6,,,,,,,o
fike,2,1,1,,,,,,,n
fike,2,1,1,,,,,,,v
filament,1,1,1,4,,,,,,n
filbert,1,1,1,,,,,,,n
filch,,,,5,,,,,,n
filch,,,,5,,,,,,v
file,81,12,27,174,4,504,480,442,378,n
file,81,12,27,174,4,504,480,442,378,v
filed,,,,,1,,,,,p
filed,,,,,1,,,,,v
filial,1,1,1,7,,,,,,j
filibuster,3,2,2,,,,,,,n
filibuster,3,2,2,,,,,,,v
filigree,1,1,1,,,,,,,j
filing,19,3,7,,4,,,,,v
filing,19,3,7,,4,,,,,o
fill,50,14,41,1137,7,521,372,415,372,n
fill,50,14,41,1137,7,521,372,415,372,v
filled,,,,,4,,,,,p
filled,,,,,4,,,,,v
filler,1,1,1,3,,,,,,n
fillet,,,,8,,,,,,n
fillet,,,,8,,,,,,v
filling,36,10,24,,3,562,502,477,,n
filling,36,10,24,,3,562,502,477,,v
filling,36,10,24,,3,562,502,477,,o
fillip,1,1,1,,,,,,,n
fillip,1,1,1,,,,,,,v
filly,9,2,2,,,,,,,j
filly,9,2,2,,,,,,,v
filly,9,2,2,,,,,,,n
film,96,13,36,214,45,578,604,562,561,v
film,96,13,36,214,45,578,604,562,561,n
films,,,,,8,,,,,v
filmy,1,1,1,11,,,,,,j
filter,9,3,5,34,,489,,490,,n
filter,9,3,5,34,,489,,490,,v
filtering,6,3,4,,,,,,,v
filtering,6,3,4,,,,,,,o
filthy,7,5,7,41,3,,,,,j
fin,2,2,2,8,,,,,,v
fin,2,2,2,8,,,,,,n
final,156,15,106,345,2,574,,407,,n
final,156,15,106,345,2,574,,407,,j
finale,6,5,5,10,,,,,,n
finalist,1,1,1,,,,,,,n
finality,4,3,3,26,,,,,,j
finally,191,15,144,1090,11,,,,,a
finance,31,9,22,232,1,515,371,405,,n
finance,31,9,22,232,1,515,371,405,,v
financed,,,,,2,,,,,p
financed,,,,,2,,,,,v
finances,,,,,2,,,,,v
financial,86,11,51,261,7,,,,,j
financially,,,,,3,,,,,a
financier,2,1,1,28,,,,,,n
finch,,,,2,,,,,,n
find,399,15,245,2698,145,580,351,370,384,n
find,399,15,245,2698,145,580,351,370,384,v
finder,2,2,2,,,,,,,n
finding,53,14,48,70,8,,,,,n
finding,53,14,48,70,8,,,,,v
finding,53,14,48,70,8,,,,,o
finds,,,,,3,,,,,v
fine,161,15,111,1078,49,560,328,392,495,a
fine,161,15,111,1078,49,560,328,392,495,j
fine,161,15,111,1078,49,560,328,392,495,n
fine,161,15,111,1078,49,560,328,392,495,v
fined,,,,,1,,,,,p
fined,,,,,1,,,,,v
finely,4,3,4,96,,,,,,a
finer,2,2,2,,,,,,,j
finer,2,2,2,,,,,,,n
finesse,,,,13,,,,,,n
finesse,,,,13,,,,,,v
finger,40,13,33,858,6,,,,,n
finger,40,13,33,858,6,,,,,v
finger-post,2,1,1,,,,,,,n
fingered,3,3,3,,,,,,,p
fingered,3,3,3,,,,,,,v
fingered,3,3,3,,,,,,,j
fingering,1,1,1,,,,,,,v
fingering,1,1,1,,,,,,,n
fingering,1,1,1,,,,,,,o
fingers,,,,,3,,,,,v
finial,1,1,1,,,,,,,j
finial,1,1,1,,,,,,,n
finicky,1,1,1,,,,,,,j
finish,39,12,30,1028,19,617,343,437,,n
finish,39,12,30,1028,19,617,343,437,,v
finished,87,14,70,,35,600,,361,,p
finished,87,14,70,,35,600,,361,,v
finished,87,14,70,,35,600,,361,,o
finisher,1,1,1,,,,,,,n
finishes,,,,,1,,,,,v
finishing,9,5,9,,6,,,,,v
finishing,9,5,9,,6,,,,,o
finite,11,3,6,2,,470,337,365,416,n
finite,11,3,6,2,,470,337,365,416,v
finite,11,3,6,2,,470,337,365,416,j
finn,1,1,1,,,,,,,n
finned,1,1,1,,,,,,,j
finnish,1,1,1,,,,,,,j
fiord,,,,,,313,574,551,,n
fir,2,1,2,14,,407,442,461,348,n
fire,187,14,103,1319,15,580,595,634,533,n
fire,187,14,103,1319,15,580,595,634,533,v
firebrand,,,,3,,,,,,n
firebreak,,,,,2,,,,,n
firefly,,,,71,,,,,,n
fireless,,,,7,,,,,,j
fireplace,6,4,6,143,1,529,592,639,,n
fires,,,,,7,,,,,v
fireside,1,1,1,6,,,,,,j
fireside,1,1,1,6,,,,,,n
firing,24,10,18,,1,,,,,v
firing,24,10,18,,1,,,,,o
firing,24,10,18,,1,,,,,n
firm,109,13,65,425,19,567,400,404,465,a
firm,109,13,65,425,19,567,400,404,465,v
firm,109,13,65,425,19,567,400,404,465,j
firm,109,13,65,425,19,567,400,404,465,n
firmament,,,,7,,231,430,443,,n
firmer,6,4,5,,,,,,,j
firmer,6,4,5,,,,,,,n
firmly,49,11,42,236,3,,,,,a
firms,,,,,7,,,,,v
first,1360,15,430,5154,183,590,311,388,429,a
first,1360,15,430,5154,183,590,311,388,429,n
first,1360,15,430,5154,183,590,311,388,429,v
first,1360,15,430,5154,183,590,311,388,429,j
first-born,,,,5,,,,,,j
first-floor,1,1,1,,,,,,,n
firstly,,,,,3,,,,,a
firstly,,,,,3,,,,,n
firth,,,,4,,,,,,n
fiscal,116,5,26,14,,,,,,n
fiscal,116,5,26,14,,,,,,j
fish,35,12,24,597,,548,597,615,473,v
fisher,5,3,4,50,,,,,,n
fishery,1,1,1,6,,,,,,n
fishing,32,10,19,,2,532,509,599,415,v
fishing,32,10,19,,2,532,509,599,415,o
fishpond,1,1,1,,,,,,,n
fisk,2,2,2,,,,,,,n
fisk,2,2,2,,,,,,,v
fissure,,,,4,,285,477,381,,v
fissure,,,,4,,285,477,381,,n
fist,26,8,19,132,,,,,,v
fist,26,8,19,132,,,,,,n
fit,75,15,57,587,16,,,,,j
fit,75,15,57,587,16,,,,,n
fit,75,15,57,587,16,,,,,v
fitch,1,1,1,,,,,,,j
fitch,1,1,1,,,,,,,n
fitful,1,1,1,17,,,,,,j
fits,,,,,2,,,,,v
fitted,20,8,18,,2,,,,,p
fitted,20,8,18,,2,,,,,v
fitted,20,8,18,,2,,,,,o
fitting,17,6,9,23,,,,,,j
fitting,17,6,9,23,,,,,,n
fitting,17,6,9,23,,,,,,v
fitting,17,6,9,23,,,,,,o
five,286,15,165,1000,106,553,365,529,392,n
five,286,15,165,1000,106,553,365,529,392,j
five,286,15,165,1000,106,553,365,529,392,o
fivepence,,,,,2,,,,,n
fiver,,,,,1,,,,,n
fix,14,8,14,309,1,,,,,j
fix,14,8,14,309,1,,,,,n
fix,14,8,14,309,1,,,,,v
fixation,,,,7,,,,,,n
fixed,87,15,57,180,10,573,,341,,j
fixed,87,15,57,180,10,573,,341,,p
fixed,87,15,57,180,10,573,,341,,v
fixed,87,15,57,180,10,573,,341,,o
fixing,11,8,11,,1,,,,,v
fixing,11,8,11,,1,,,,,o
fixture,3,3,3,48,,,,,,n
flabbergasted,,,,,1,,,,,p
flabbergasted,,,,,1,,,,,v
flabby,,,,8,,,,,,j
flag,16,7,12,135,,545,606,607,448,j
flag,16,7,12,135,,545,606,607,448,o
flag,16,7,12,135,,545,606,607,448,n
flag,16,7,12,135,,545,606,607,448,v
flagellated,1,1,1,,,,,,,p
flagellated,1,1,1,,,,,,,v
flagellated,1,1,1,,,,,,,j
flagellation,1,1,1,,,,,,,n
flageolet,1,1,1,,,,,,,n
flagon,,,,,1,,,,,n
flagrant,3,3,3,15,1,,,,,j
flagstone,,,,11,,,,,,n
flail,1,1,1,7,,,,,,n
flail,1,1,1,7,,,,,,v
flair,8,5,7,24,,489,335,425,382,n
flake,1,1,1,59,2,,,,,n
flake,1,1,1,59,2,,,,,v
flakes,,,,,1,,,,,v
flaky,2,2,2,16,,,,,,j
flamboyant,3,2,3,,,,,,,n
flamboyant,3,2,3,,,,,,,j
flame,17,9,15,259,,551,582,598,489,n
flame,17,9,15,259,,551,582,598,489,v
flaming,6,5,6,29,,466,,509,,j
flaming,6,5,6,29,,466,,509,,v
flaming,6,5,6,29,,466,,509,,o
flamingo,,,,2,,,,,,n
flammable,1,1,1,,,,,,,j
flanders,2,1,1,,,,,,,n
flange,2,2,2,1,,,,,,v
flange,2,2,2,1,,,,,,n
flank,2,2,2,62,,,,,,n
flank,2,2,2,62,,,,,,v
flannel,4,3,4,79,1,499,574,520,402,j
flannel,4,3,4,79,1,499,574,520,402,v
flannel,4,3,4,79,1,499,574,520,402,n
flap,,,,51,1,,,,,n
flap,,,,51,1,,,,,v
flapper,1,1,1,22,,,,,,n
flare,3,3,3,93,,508,467,509,389,n
flare,3,3,3,93,,508,467,509,389,v
flaring,3,3,3,,1,,,,,v
flaring,3,3,3,,1,,,,,o
flash,21,10,17,366,,509,480,528,469,j
flash,21,10,17,366,,509,480,528,469,n
flash,21,10,17,366,,509,480,528,469,v
flashback,1,1,1,,,,,,,n
flashing,6,3,4,,,,,,,v
flashing,6,3,4,,,,,,,o
flashlight,8,4,6,43,,499,,,,n
flashy,3,3,3,19,,,,,,j
flask,5,1,2,16,,401,595,614,,v
flask,5,1,2,16,,401,595,614,,n
