#word,k-f-freq     ,k-f-ncats    ,k-f-nsamp    ,t-l-freq     ,brown-freq   ,fam,conc ,imag,meanc,wtype
accelerate,5,3,5,18,1,,,,,v
accelerator,5,4,4,5,,,,,,n
accent,9,6,9,117,4,,,,,n
accent,9,6,9,117,4,,,,,v
accented,,,,,1,,,,,p
accented,,,,,1,,,,,v
accents,,,,,4,,,,,v
accentual,1,1,1,,,,,,,j
accentuate,1,1,1,32,,,,,,v
accept,72,12,48,667,11,,,,,p
accept,72,12,48,667,11,,,,,v
acceptable,21,7,16,41,3,521,,288,,j
accepted,,,,,8,,,,,p
accepted,,,,,8,,,,,v
accepting,,,,,2,,,,,v
accepts,,,,,2,,,,,v
accessible,5,4,5,32,1,,,,,j
accession,,,,4,,,,,,n
accessory,1,1,1,93,,,,,,j
accessory,1,1,1,93,,,,,,n
accident,33,14,23,399,5,564,419,518,,j
accident,33,14,23,399,5,564,419,518,,n
accidental,9,5,6,38,1,,,,,n
accidental,9,5,6,38,1,,,,,j
accidentally,,,,,3,,,,,a
acclaim,4,2,4,25,,,,,,v
accolade,2,2,2,11,,,,,,n
accommodate,14,9,13,36,,,,,,o
accommodate,14,9,13,36,,,,,,v
accommodation,1,1,1,33,10,533,464,466,,n
accompanied,,,,,1,,,,,p
accompanied,,,,,1,,,,,v
accompaniment,7,4,5,54,,,,,,n
accompanist,1,1,1,,,,,,,n
accompany,8,4,7,64,,,,,,v
accomplice,2,2,2,4,,446,395,391,345,n
accomplish,24,8,20,224,,,,,,v
accomplished,44,12,39,28,,,,,,j
accomplished,44,12,39,28,,,,,,p
accomplished,44,12,39,28,,,,,,v
accomplished,44,12,39,28,,,,,,o
accomplishment,7,6,7,56,,,,,,n
accord,9,5,8,68,1,418,299,248,307,a
accord,9,5,8,68,1,418,299,248,307,j
accord,9,5,8,68,1,418,299,248,307,n
accord,9,5,8,68,1,418,299,248,307,v
accordance,20,7,17,25,,431,270,237,,n
according,139,14,98,385,7,,,,,v
according,139,14,98,385,7,,,,,a
according,139,14,98,385,7,,,,,o
accordingly,31,6,23,61,,,,,,a
accordion,1,1,1,10,,394,586,576,352,j
accordion,1,1,1,10,,394,586,576,352,n
accost,,,,7,,,,,,n
accost,,,,7,,,,,,v
account,117,13,86,660,13,523,365,361,392,o
account,117,13,86,660,13,523,365,361,392,n
account,117,13,86,660,13,523,365,361,392,v
accountability,4,2,3,,,,,,,n
accountable,1,1,1,5,,,,,,j
accountant,2,2,2,18,1,,,,,j
accountant,2,2,2,18,1,,,,,n
accounts,,,,,4,,,,,v
accredit,,,,2,,,,,,v
accretion,3,2,2,,,,,,,n
accrue,,,,10,,,,,,n
accrue,,,,10,,,,,,v
accumulate,3,3,3,84,,,,,,o
accumulate,3,3,3,84,,,,,,v
accumulation,11,6,10,18,,451,285,354,,n
accuracy,36,7,21,45,,,,,,n
accurate,35,10,33,76,1,566,,305,,j
accurately,,,,,1,,,,,a
accursed,,,,8,,,,,,j
accusation,3,3,3,44,,,,,,n
accuse,10,6,8,133,1,,,,,n
accuse,10,6,8,133,1,,,,,v
accused,,,,,1,,,,,p
accused,,,,,1,,,,,v
accuser,,,,6,,363,424,343,,n
accustom,,,,191,,,,,,n
accustom,,,,191,,,,,,v
accustomed,15,10,14,,1,,,,,j
accustomed,15,10,14,,1,,,,,p
accustomed,15,10,14,,1,,,,,v
accustomed,15,10,14,,1,,,,,o
ace,15,4,7,28,,,,,,v
ace,15,4,7,28,,,,,,n
acetate,7,2,3,,,,,,,n
acetone,4,1,2,,,,,,,n
ache,4,3,4,203,,523,443,443,484,n
ache,4,3,4,203,,523,443,443,484,v
ache,4,3,4,203,,523,443,443,484,n
achieve,51,9,40,249,,,,,,v
achieved,,,,,2,,,,,p
achieved,,,,,2,,,,,v
achievement,65,7,27,128,5,,,,,n
aching,,,,,1,,,,,v
acid,13,6,9,82,,,,,,j
acid,13,6,9,82,,,,,,n
acidulous,1,1,1,,,,,,,j
acknowledge,12,7,12,116,,503,290,316,426,v
acknowledgement,2,1,2,,,,,,,n
acknowledgment,2,2,2,16,,,,,,n
acolyte,1,1,1,,,,,,,n
acorn,,,,10,,397,,,,n
acoustic,1,1,1,,,,,,,n
acoustic,1,1,1,,,,,,,j
acoustics,1,1,1,,,,,,,o
acquaint,3,3,3,27,,,,,,n
acquaint,3,3,3,27,,,,,,o
acquaint,3,3,3,27,,,,,,v
acquaintance,9,5,9,198,1,,,,,n
acquainted,12,8,11,,,,,,,p
acquainted,12,8,11,,,,,,,v
acquainted,12,8,11,,,,,,,o
acquiesce,3,2,3,14,,,,,,v
acquiescence,5,2,5,9,,,,,,n
acquire,27,9,24,221,,,,,,v
acquired,,,,,2,,,,,p
acquired,,,,,2,,,,,v
acquisition,17,5,6,8,,,,,,n
acquisitiveness,1,1,1,,,,,,,n
acquit,,,,30,,,,,,n
acquit,,,,30,,,,,,o
acquit,,,,30,,,,,,v
acquittal,2,1,2,4,,,,,,n
